"why","when","where","what"
"opendata",2017.11,"https://hacknight.dinacon.ch/","Organized DINAcon Hacknights for Swiss open source community"
"coding",2017.10,"https://hack.opendata.ch/project/130","Prototyped an IoT solution for tourists with open hardware"
"school",2017.09,"https://github.com/loleg/openguesser","Made a geography web game with Swisstopo and Wikidata"
"coding",2017.07,"https://github.com/dataletsch/public-health-ch/","Coded, migrated and supported the website of Public-Health.ch"
"school",2017.06,"https://blog.datalets.ch/033/","Ran a meetup for the Python developer community in Bern"
"coding",2017.05,"https://vimeo.com/218169197","Installed network at Uferbau, plus various coding for Village Office"
"school",2017.04,"https://blog.datalets.ch/030/","Coached refugees in the pilot Powercoders academy in Bern"
"opendata",2017.02,"https://forum.opendata.ch/t/3-4-2-make-zurich-2017/173/3?u=oleg","Aggregated sensor data at the first Make Zurich hackathon"
"school",2017.01,"https://web.tresorit.com/l#_VoOOROMO5_0iuvDcl5I6A","Social Media data analysis workshop at Swiss Research Foundation"
"opendata",2016.12,"https://blog.datalets.ch/035/","Helped to expand a makerspace/coworking studio at Effinger Bern"
"coding",2016.01,"http://www.beobachter.ch/wirtschaft/artikel/pharmagelder_138-millionen-franken-fuer-spitaeler-und-aerzte/","Aggregated data for an investigative report on pharma transparency"
"school",2016.09,"https://blog.datalets.ch/021/","Supported a summer school on Data Visualization in Lugano"
"coding",2016.08,"https://bitbucket.org/mimoti/mimoti-for-android","Mobile app for a clinical study at the Bern University Hospital"
"school",2016.07,"https://blog.datalets.ch/019/","Ran an unconference at the Opendata.ch 2016 annual event"
"opendata",2016.06,"https://blog.datalets.ch/022/","Hack4AgeingWell, improving conditions of life for older adults"
"school",2016.05,"https://blog.datalets.ch/015/","Ran a Data Expedition at the Warmbächli urban renewal site"
"coding",2016.04,"http://www.informationisbeautifulawards.com/showcase/1494-educational-pathways","Educational pathways of the school system in Kanton Zürich"
"opendata",2016.03,"https://github.com/opendata-swiss/ogd-handbook-wiki","Launched the central Handbook of the Swiss federal OGD portal"
"coding",2016.02,"https://handbook.opendata.swiss/library/embed.html","Developed a CKAN extension to embed OGD in external websites"
"school",2015.01,"https://blog.datalets.ch/023/#hellosodabot","Supported the first Zürich Climathon with workshops and chatbots"
"opendata",2015.09,"https://github.com/loleg/kandidaten","Started a web project about political speeches and accountability"
"coding",2015.08,"https://bitbucket.org/loleg/synopses-app","Prototyped an open source app for communicating with your doctor"
"school",2015.07,"https://github.com/loleg/punchedquest","Made an adventure game for kids using 20th century punch cards"
"opendata",2015.05,"http://make.opendata.ch/wiki/project:portrait_domain","Made a web game about alternate identity and facial swapping"
"coding",2015.04,"http://make.opendata.ch/wiki/project:scatterwindrose","Visualized wind speed and direction using SwissMetNet data"
"school",2015.03,"https://datalets.ch/dribdat/","Created an open source platform for hackathons with Impact Factor"
"coding",2014.11,"https://github.com/loleg/webaudiopano","Created a virtual art gallery with 3D audio for an online exhibition"
"school",2014.07,"https://github.com/loleg/OpenDataButton","Student run project to identify and highlight open or wanted datasets"
"coding",2014.06,"http://make.opendata.ch/wiki/project:dataalps","Interactive visualizations of open datasets using 3D web graphics"
"opendata",2014.05,"https://github.com/loleg/open-spoertli","Documented Switzerland’s sports with an open data visualization"
"coding",2013.12,"https://github.com/loleg/jobshaker","Deployed an experimental online portal for connecting jobsharers"
"opendata",2013.09,"https://github.com/loleg/cumulizer","Analyze and visualize your grocery shopping with personal data"
"coding",2013.08,"https://github.com/loleg/JournalB","Tech-led and developed Journal B, a new digital magazine in Bern"
"opendata",2013.07,"https://github.com/loleg/tower-track-ch","Mobile app to explore the landscape of radio communication towers"
"school",,"#","Courses and workshop materials"
"opendata",,"#","Open data hackathons and projects"
"coding",,"#","Programming and technical consulting"
